group,name,city,address,metres_from_first,on_greenmeister,status,has_hours,menus,latest_menu,menu_archive,note,id
70,Sympathy,Den Haag,"Witte de Withstraat 14, Den Haag",31,yes,open,yes,0,,,,sympathy-den-haag
71,Simpel Minds,Den Haag,"De la Reyweg 101, Den Haag",0,yes,open,yes,1,,,,simpel-minds-den-haag
71,Sticky Fingers,Den Haag,"De la Reyweg 101, Den Haag",0,yes,open,no,0,,,,sticky-fingers-den-haag
72,Smokey,Den Haag,"Spui 241, Den Haag",0,yes,open,yes,1,,,,smokey-den-haag
72,The Goat,Den Haag,"Spui 241, 2511 BP, Den Haag",3,no,open,no,5,,,,the-goat-den-haag
73,The Freak Brothers,Den Haag,"Westeinde 86, 2512 HE, Den Haag",0,no,open,no,1,,,,the-freak-brothers-den-haag
73,The Freak Brothers (Koffie en Dromen),Den Haag,"Westeinde 86, Den Haag",13,yes,open,yes,0,,,,the-freak-brothers-koffie-en-dromen-den-haag
74,Bulls,Deventer,"Op de Keizer 28, 7411 TA, Deventer",0,no,open,no,1,,,,bulls-deventer
74,Cybershop Bulls,Deventer,"Op de Keizer 28, Deventer",2,yes,open,yes,0,,,,cybershop-bulls-deventer
75,De Kikker,Deventer,"Mr. H.F. de Boerlaan 21167, Deventer",0,yes,open,yes,0,,,,de-kikker-deventer
75,Het Ankertje,Deventer,"Mr. H.F. de Boerlaan 21165, Deventer",6,yes,open,yes,0,,,,het-ankertje-deventer
76,Dr Pleasure,Deventer,"Brinkgreverweg 70, Deventer",0,yes,open,yes,0,,,,dr-pleasure-deventer
76,International,Deventer,"Brinkgreverweg 70, Deventer",0,yes,open,yes,0,,,,international-deventer
77,Bazar Zilyon,Doetinchem,"Dr. Huber Noodtstraat 80, Doetinchem",0,yes,open,no,0,,,,bazar-zilyon-doetinchem
77,Magic,Doetinchem,"Veemarkt 10, Doetinchem",38,yes,open,yes,1,,,,magic-doetinchem
78,Genius,Dordrecht,"Voorstraat 475, Dordrecht",0,yes,open,yes,0,,,,genius-dordrecht
78,Marrakech,Dordrecht,"Voorstraat 475, Dordrecht",0,yes,open,yes,0,,,,marrakech-dordrecht
79,De Kink,Ede,"De Halte 81, Ede",0,yes,open,yes,2,,,,de-kink-ede
79,Green Valley,Ede,"De Halte 21A, Ede",25,yes,open,yes,1,,,,green-valley-ede
80,Cafe Mix,Enschede,"Haverstraatpassage 44-46, Enschede",0,yes,open,yes,0,,,,cafe-mix-enschede
80,Mix,Enschede,"Haverstraatpassage 44-46, 7511 EX, Enschede",7,no,open,no,1,,,,mix-enschede
81,Aarden Plan B,Goes,"Grote Markt 7, 4461 AH, Goes",0,no,open,no,1,,,,aarden-plan-b-goes
81,Plan B / Coffeeshop Aarden,Goes,"Grote Markt 7, Goes",2,yes,open,yes,0,,,,plan-b-coffeeshop-aarden-goes
82,Animo,Gouda,"Vest 18, 2801 VE, Gouda",0,no,open,no,2,,,,animo-gouda
82,Club Animo,Gouda,"Vest 18, Gouda",1,yes,open,yes,0,,,,club-animo-gouda
83,Cafe Dees,Groningen,"Papengang 3, Groningen",0,yes,open,yes,0,,,,cafe-dees-groningen
83,Dees Cafe,Groningen,"Papengang 3, 9711 PA, Groningen",1,no,open,no,1,,,,dees-cafe-groningen
84,Rag-a-Muffin,Groningen,"Noorderstationsstraat 15, 9716 AN, Groningen",0,no,open,no,1,,,,rag-a-muffin-groningen
84,Raggamuffin,Groningen,"Noorderstationsstraat 15, Groningen",1,yes,open,yes,0,,,,raggamuffin-groningen
85,Boerejongens Haarlem,Haarlem,"Lange Veerstraat 47, Haarlem",0,yes,open,yes,1,,,,boerejongens-haarlem-haarlem
85,The Greengrocers,Haarlem,"Lange Veerstraat 47, 2011 DA, Haarlem",1,no,open,no,1,,,,the-greengrocers-haarlem
86,Cannabis Takeaway De Kruidenier,Haarlem,"Nassaulaan 54, Haarlem",0,yes,open,yes,0,,,,cannabis-takeaway-de-kruidenier-haarlem
86,De Kruidenier Cannabis Takeaway,Haarlem,"Nassaulaan 54, 2011 PE, Haarlem",1,no,open,no,2,,,,de-kruidenier-cannabis-takeaway-haarlem
87,Coffeeshop Haarlem,Haarlem,"Doelstraat 29, Haarlem",0,yes,open,yes,1,,,,coffeeshop-haarlem-haarlem
87,The Lounge,Haarlem,"Doelstraat 29, Haarlem",0,yes,open,yes,1,,,,the-lounge-haarlem
88,Easy Going,Haarlem,"Barrevoetestraat 23, Haarlem",0,yes,open,yes,1,,,,easy-going-haarlem
88,Easy Max,Haarlem,"Barrevoetestraat 23, 2011 WN, Haarlem",1,no,open,no,1,,,,easy-max-haarlem
89,Hunter's Coffeeshop Haarlem,Haarlem,"Schoterweg 66, Haarlem",0,yes,open,yes,1,,,,hunters-coffeeshop-haarlem-haarlem
89,Key West,Haarlem,"Schoterweg 66, Haarlem",1,yes,open,yes,1,,,,key-west-haarlem
90,Join Us 2,Haarlem,"Schalkwijkerstraat 23, 2033 JB, Haarlem",0,no,open,no,1,,,,join-us-2-haarlem
90,Theehuis Join Us,Haarlem,"Schalkwijkerstraat 23, Haarlem",14,yes,open,yes,0,,,,theehuis-join-us-haarlem
91,Willie Wortel Indica,Haarlem,"Koudenhorn 58, 2011 JD, Haarlem",0,no,open,no,1,,,,willie-wortel-indica-haarlem
91,Willie Wortel's Indica,Haarlem,"Koudenhorn 58, Haarlem",1,yes,open,yes,0,,,,willie-wortels-indica-haarlem
92,Willie Wortel Sativa,Haarlem,"Kruisweg 46, 2011 LD, Haarlem",0,no,open,no,1,,,,willie-wortel-sativa-haarlem
92,Willie Wortel's Sativa,Haarlem,"Kruisweg 46, Haarlem",4,yes,open,yes,0,,,,willie-wortels-sativa-haarlem
93,Columbus,Harderwijk,"Vijhestraat 3, 3841 CW, Harderwijk",0,no,open,no,1,,,,columbus-harderwijk
93,Columbus Cannabis Store,Harderwijk,"Vijhestraat 3, Harderwijk",7,yes,open,yes,0,,,,columbus-cannabis-store-harderwijk
94,Coffeeshop Twins,Heerlen,"Honigmannstraat 49, Heerlen",0,yes,open,yes,3,,,,coffeeshop-twins-heerlen
94,The New Capricorn,Heerlen,"Honigmannstraat 49, Heerlen",2,yes,open,yes,0,,,,the-new-capricorn-heerlen
95,John & Co.,Hellevoetsluis,"Stephensonweg 1, Hellevoetsluis",0,yes,open,yes,0,,,,john-co-hellevoetsluis
95,John and Co.,Hellevoetsluis,"Stephensonweg 1, 3225 LW, Hellevoetsluis",35,no,open,no,1,,,,john-and-co-hellevoetsluis
96,Bonne Ville,Helmond,"Wolfstraat 124, Helmond",0,yes,open,yes,0,,,,bonne-ville-helmond
96,Willy's Place,Helmond,"Wolfstraat 124, Helmond",2,yes,open,yes,0,,,,willys-place-helmond
97,Happy days,Hengelo (O),"Emmaweg 8, Hengelo (O)",0,yes,open,yes,0,,,,happy-days-hengelo-o
97,Moby Dick,Hengelo,"Emmaweg 4, Hengelo",23,yes,open,yes,1,,,,moby-dick-hengelo
98,Cats,Leerdam,"Hoogstraat 15, Leerdam",0,yes,open,no,1,,,,cats-leerdam
98,Notos,Leerdam,"Hoogstraat 44, Leerdam",24,yes,open,yes,0,,,,notos-leerdam
99,058,Leeuwarden,"Uniabuurt 2, Leeuwarden",0,yes,open,yes,0,,,,058-leeuwarden
99,Africa,Leeuwarden,"Uniabuurt 2, Leeuwarden",0,yes,open,yes,0,,,,africa-leeuwarden
100,7th Heaven,Leeuwarden,"Tuinen 38, 8911 KE, Leeuwarden",0,no,open,no,1,,,,7th-heaven-leeuwarden
100,7th Heaven Leeuwarden,Leeuwarden,"Tuinen 38, Leeuwarden",5,yes,open,yes,0,,,,7th-heaven-leeuwarden-leeuwarden
101,American,Leeuwarden,"Nieuwesteeg 4, Leeuwarden",0,yes,open,yes,0,,,,american-leeuwarden
101,De Eenhoorn,Leeuwarden,"Nieuwesteeg 3, Leeuwarden",22,yes,open,yes,1,,,,de-eenhoorn-leeuwarden
102,Coffeeshop Oké,Leeuwarden,"Zuidvliet 44, Leeuwarden",0,yes,open,yes,0,,,,coffeeshop-oke-leeuwarden
102,De Vriendschap,Leeuwarden,"Zuidvliet 44, Leeuwarden",0,yes,open,yes,0,,,,de-vriendschap-leeuwarden
103,De Os,Leeuwarden,"Korfmakersstraat 2, Leeuwarden",0,yes,open,yes,1,,,,de-os-leeuwarden
103,Miami,Leeuwarden,"Korfmakersstraat 5, Leeuwarden",17,yes,open,yes,3,,,,miami-leeuwarden
104,de Zone,Leeuwarden,"Poststraat 37, 8911 GX, Leeuwarden",0,no,open,no,1,,,,de-zone-leeuwarden
104,Koffiehuis De Zone,Leeuwarden,"Poststraat 37, Leeuwarden",2,yes,open,yes,0,,,,koffiehuis-de-zone-leeuwarden
105,Liberty,Leeuwarden,"Herenwaltje 12, Leeuwarden",0,yes,open,yes,1,,,,liberty-leeuwarden
105,Sacramento,Leeuwarden,"Herenwaltje 12, Leeuwarden",1,yes,open,yes,1,,,,sacramento-leeuwarden
106,Coffee & Dreams,Leiden,"Nieuwe Beestenmarkt 34, Leiden",0,yes,open,yes,0,,,,coffee-dreams-leiden
106,Coffee and Dreams,Leiden,"Nieuwe Beestenmarkt 34, 2312 CH, Leiden",3,no,open,no,3,,,,coffee-and-dreams-leiden
107,Double AA,Leiden,"Nieuwe Beestenmarkt 5, Leiden",0,yes,open,yes,1,,,,double-aa-leiden
107,Paradise,Leiden,"Nieuwe Beestenmarkt 6, Leiden",38,yes,open,yes,0,,,,paradise-leiden
108,Easy Going,Maastricht,"Hoenderstraat 8, Maastricht",0,yes,open,yes,0,,,,easy-going-maastricht
108,Easy Going,Maastricht,"Hoenderstraat 8, Maastricht",0,yes,open,yes,1,,,,easy-going-maastricht-2
109,Lucky Time,Maastricht,"Hoogbrugstraat 4, Maastricht",0,yes,open,yes,0,,,,lucky-time-maastricht
109,Mary Jane,Maastricht,"Hoogbrugstraat 4, Maastricht",2,yes,open,yes,1,,,,mary-jane-maastricht
110,Missouri,Maastricht,"Hoogbrugstraat 31, 6221 CN, Maastricht",0,no,open,no,1,,,,missouri-maastricht
110,Missouri (De Smurf),Maastricht,"Hoogbrugstraat 31, Maastricht",1,yes,open,yes,0,,,,missouri-de-smurf-maastricht
111,Smoky,Maastricht,"Maaspromenade 13, 6211 HS, Maastricht",0,no,open,no,1,,,,smoky-maastricht
111,Smoky Boot,Maastricht,"Maaspromenade 13, Maastricht",14,yes,open,yes,0,,,,smoky-boot-maastricht
112,Buggy,Nijmegen,"Platenmakersstraat 8, 6511 TZ, Nijmegen",0,no,open,no,1,,,,buggy-nijmegen
112,Smoke v/h Buggy,Nijmegen,"Platenmakersstraat 8, Nijmegen",2,yes,open,yes,0,,,,smoke-v-h-buggy-nijmegen
113,Splif II,Purmerend,"Achterdijk 76, 1441 DJ, Purmerend",0,no,open,no,1,,,,splif-ii-purmerend
113,Splif2,Purmerend,"Achterdijk 76, Purmerend",1,yes,open,yes,0,,,,splif2-purmerend
114,Christiana,Roosendaal,"Hoogstraat 13, Roosendaal",0,yes,open,no,0,,,,christiana-roosendaal
