name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Carmona,open,2e Jan van der Heijdenstraat 43,1074 TL,Amsterdam,"2e Jan van der Heijdenstraat 43, 1074 TL Amsterdam",Carmona,Carmona/logo.png,1,12,10 May 2026,,https://www.coffeeshopmenus.org/cs-carmona.html
Catch 33,open,Nassaukade 33,1052 CK,Amsterdam,"Nassaukade 33, 1052 CK Amsterdam",Catch33,Catch33/logo.png,1,16,5 February 2026,,https://www.coffeeshopmenus.org/cs-catch-33.html
Central,open,Prins Hendrikkade 89,1012 EA,Amsterdam,"Prins Hendrikkade 89, 1012 EA Amsterdam",Central,Central/logo.png,1,24,19 January 2026,,https://www.coffeeshopmenus.org/cs-central.html
Chapiteau,open,Van Boetzelaerstraat 31,1051 CT,Amsterdam,"Van Boetzelaerstraat 31, 1051 CT Amsterdam",Chapiteau,Chapiteau/logo.png,1,23,12 July 2026,,https://www.coffeeshopmenus.org/cs-chapiteau.html
Chocolata,closed,Spuistraat 51,,,"Spuistraat 51,",Chocolata,Chocolata/logo.png,2,,,Later Abraxas Too and now closed,https://www.coffeeshopmenus.org/cs-chocolata.html
City Hall,open,Oudezijds Voorburgwal 189,1012 EW,Amsterdam,"Oudezijds Voorburgwal 189, Amsterdam 1012 EW",CityHall,CityHall/logo.png,1,6,7 April 2026,,https://www.coffeeshopmenus.org/cs-city-hall.html
Club Media,open,Gerard Doustraat 83-85,1072 VN,Amsterdam,"Gerard Doustraat 83-85, 1072 VN Amsterdam",Club Media,Club Media/logo.png,1,88,17 June 2026,,https://www.coffeeshopmenus.org/cs-media.html
Coffeeshop Oost,open,3e Oosterparkstraat 73,1091 JV,Amsterdam,"3e Oosterparkstraat 73, Amsterdam 1091 JV",Oost,Oost/logo.png,1,22,30 July 2026,Previously The Point,https://www.coffeeshopmenus.org/cs-oost.html
CoffeeshopAmsterdam,open,Haarlemmerstraat 44,1013 ES,Amsterdam,"Haarlemmerstraat 44, 1013 ES, Amsterdam",CoffeeshopAmsterdam,CoffeeshopAmsterdam/logo.png,1,27,1 February 2026,Previously Dampkring 2 and later Amsterdam Genetics,https://www.coffeeshopmenus.org/cs-coffeeshop-amsterdam.html
CrashLight,open,Pretoriusstraat 67,1092 GB,Amsterdam,"Pretoriusstraat 67, 1092 GB Amsterdam",CrashLight,CrashLight/logo.png,1,,18 August 2022,,https://www.coffeeshopmenus.org/cs-crash-light.html
