name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
The Plug Westerdok,open,Barentszstraat 130,1013 NS,Amsterdam,"Barentszstraat 130, Amsterdam 1013 NS",plugwesterdok,plugwesterdok/logo.png,1,2,25 June 2026,Previously Baba,https://www.coffeeshopmenus.org/cs-plugwesterdok.html
The Plug XXX,open,Rusland 16,1012 CL,Amsterdam,"Rusland 16, Amsterdam 1012 CL",Utopia,Utopia/logo.png,1,18,20 August 2024,Previously Rusland and later The Hit. See also Plug Utopia and Plug West,https://www.coffeeshopmenus.org/cs-plug-xxx.html
The Point,open,3e Oosterparkstraat 73,1091 JV,Amsterdam,"3e Oosterparkstraat 73, 1091 JV Amsterdam",Point,Point/logo.png,1,,25 May 2015,Later Coffeeshop Oost,https://www.coffeeshopmenus.org/cs-point-ams.html
The Store,open,Singel 14,1013 GA,Amsterdam,"Singel 14, Amsterdam 1013 GA",Doors,Doors/logo.png,1,2,5 September 2023,Previously The Doors and later The Plug Store,https://www.coffeeshopmenus.org/cs-store.html
Tops,open,Prinsengracht 480,1017 KG,Amsterdam,"Prinsengracht 480, 1017 KG Amsterdam",Tops,Tops/logo.png,2,,30 September 2013,Later Superskunk,https://www.coffeeshopmenus.org/cs-tops-ams.html
Trefpunt,open,Zeeburgerdijk 33,1093 SL,Amsterdam,"Zeeburgerdijk 33, Amsterdam 1093 SL",Trefpunt,Trefpunt/logo.png,1,5,2 July 2025,,https://www.coffeeshopmenus.org/cs-trefpunt-ams.html
Trinity,closed,Sarphatistraat 87,1018 EZ,Amsterdam,"Sarphatistraat 87, 1018 EZ Amsterdam",Trinity,Trinity/logo.png,1,,,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-trinity.html
Tuintje,open,Overtoom 451,1054 KH,Amsterdam,"Overtoom 451, 1054 KH Amsterdam",Tuintje,Tuintje/logo.png,1,,7 May 2010,Later Vondel,https://www.coffeeshopmenus.org/cs-tuintje.html
Tweede Kamer,open,Heisteeg 6,1012 WC,Amsterdam,"Heisteeg 6, 1012 WC Amsterdam",TweedKamer,TweedKamer/logo.png,1,19,6 February 2026,,https://www.coffeeshopmenus.org/cs-tweede-kamer.html
Tweedy,closed,Vondelstraat 104,1054 GR,Amsterdam,"Vondelstraat 104, Amsterdam 1054 GR",Tweedy,Tweedy/logo.png,1,2,15 June 2010,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-tweedy.html
Twilight Zone,closed,Lange Niezel 7,1012 GS,Amsterdam,"Lange Niezel 7, 1012 GS Amsterdam",Twilight Zone,Twilight Zone/logo.png,1,,29 September 2007,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-twilight-zone.html
Two Twenty Two,closed,Oudezijds Voorburgwal 222,1012 GJ,Amsterdam,"Oudezijds Voorburgwal 222, Amsterdam 1012 GJ",Two Twenty Two,Two Twenty Two/logo.png,2,,1 September 2004,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-two-twenty-two.html
Tyson 2.0,open,Spuistraat 222,1012 VA,Amsterdam,"Spuistraat 222, 1012 VA Amsterdam",Softland,Softland/logo.png,1,29,21 July 2026,Previously Softland,https://www.coffeeshopmenus.org/cs-tyson.html
Tyson 2.0 Nieuwmarkt,open,Nieuwmarkt 14,1012 CR,Amsterdam,"Nieuwmarkt 14, Amsterdam 1012 CR",Softland,Softland/logo.png,1,,20 April 2026,Previously Greenhouse Effect,https://www.coffeeshopmenus.org/cs-tyson20nieuwmarkt.html
Vondel,open,Overtoom 451-hs,1054 KH,Amsterdam,"Overtoom 451-hs, 1054 kh Amsterdam",Vondel,Vondel/logo.png,1,5,14 July 2026,Previously Tuintje,https://www.coffeeshopmenus.org/cs-vondel.html
Voyagers,open,Geldersekade 2,,Amsterdam,"Geldersekade 2, Amsterdam",Voyagers,Voyagers/logo.png,1,95,14 February 2026,,https://www.coffeeshopmenus.org/cs-voyagers.html
Warda 1,open,Van Woustraat 147,1074 AJ,Amsterdam,"Van Woustraat 147, 1074 AJ Amsterdam",Warda1&2,Warda1&2/logo.png,1,5,17 July 2026,,https://www.coffeeshopmenus.org/cs-warda-1.html
West (Ban Tam),open,Balboastraat 19,1057 VT,Amsterdam,"Balboastraat 19, Amsterdam 1057 VT",coffeeshopwest,coffeeshopwest/logo.png,1,5,17 July 2026,Previously de Bommel,https://www.coffeeshopmenus.org/cs-west.html
Yin Yang,open,Knollendamstraat 5,1013 TL,Amsterdam,"Knollendamstraat 5, Amsterdam 1013 TL",YinYang,YinYang/logo.png,1,2,26 December 2023,,https://www.coffeeshopmenus.org/cs-yin-yang.html
Yo-Yo,open,2e Jan van der Heijdenstraat 79,1072 TZ,Amsterdam,"2e Jan van der Heijdenstraat 79, 1072 TZ Amsterdam",Yo-Yo,Yo-Yo/logo.png,1,18,19 October 2024,,https://www.coffeeshopmenus.org/cs-yo-yo.html
